type,term_id,name,slug,parent,normalized_name,blog_category
category,1525,Artisans of Splendent Vale,artisans-of-splendent-vale,tabletop-games,Artisans of Splendent Vale,Tabletop RPGs (TTRPGs)
category,2058,Avalon,avalon,blockchain,Avalon,Board Games
category,1544,Axie Infinity,axie-infinity,browser-game,Axie Infinity,Gaming Industry & News
category,485,Ballpoint Universe,ballpoint-universe,kickstarter,Ballpoint Universe,Gaming Culture & Commentary
category,1736,Bandai Wonderswan,bandai-wonderswan,trends,Bandai Wonderswan,Retro Gaming
category,1674,Basketball,basketball,trends,Basketball,Gaming Culture & Commentary
category,486,Battle of the Immortals,battle-of-the-immortals,mmos,Battle of the Immortals,Gaming Culture & Commentary
category,487,Battlestar Galactica,battlestar-galactica,sci-fi,Battlestar Galactica,Gaming Culture & Commentary
category,488,Besiege,besiege,other-games,Besiege,Gaming Culture & Commentary
category,2156,Beyond Shadowgate,beyond-shadowgate,kickstarter,Beyond Shadowgate,Retro Gaming
category,1937,Black Desert Online,black-desert-online,mmos,Black Desert Online,MMOs
category,489,Black Prophecy,black-prophecy,mmos,Black Prophecy,Gaming Culture & Commentary
category,1520,Car Wars,car-wars,tabletop-games,Car Wars,Tabletop RPGs (TTRPGs)
category,490,Castle Story,castle-story,other-games,Castle Story,Gaming Culture & Commentary
category,1699,Cats,cats,trends,Cats,Blogging & Meta
category,491,Champions Online,champions,mmos,Champions Online,MMOs
category,492,Chess the MMO,chess-the-mmo,mmos,Chess the MMORPG,RPGs (Video Games)
category,493,Chronicles of Spellborn,chronicles-of-spellborn,mmos,Chronicles of Spellborn,Gaming Culture & Commentary
category,494,Cities XL,cities-xl,mmos,Cities XL,Gaming Culture & Commentary
category,495,City of Heroes,city-of-heroes,mmos,City of Heroes,Gaming Culture & Commentary
category,496,Clone Wars Adventures,clone-wars-adventures,other-games,Clone Wars Adventures,Indie Games
category,497,Code Hero,code-hero,other-games,Code Hero,Game Development & Design
category,498,College-Ruled Universe,college-ruled-universe,kickstarter,College-Ruled Universe,Blogging & Meta
category,499,Comics,comics,humor,Comic,Gaming Culture & Commentary
category,1474,Console game,console-game,trends,Console Game,Gaming Hardware & Platforms
category,500,Crayon Chronicles,crayon-chronicles,kickstarter,Crayon Chronicles,Gaming Culture & Commentary
category,501,Crayon Physics Deluxe,crayon-physics-deluxe,other-games,Crayon Physics Deluxe,Gaming Culture & Commentary
category,502,Crypt of the NecroDancer,crypt-of-the-necrodancer,other-games,Crypt of the Necrodancer,Gaming Culture & Commentary
category,1907,Cyberpunk 2077,cyberpunk-2077,other-games,Cyberpunk 2077,RPGs (Video Games)
category,503,D&amp;D 4E,dd-4e,other-games,D&d 4e,Tabletop RPGs (TTRPGs)
category,504,Daily Blogroll,weblog,mmos,Daily Blogroll,Blogging & Meta
category,505,Dark Ages of Camelot,dark-ages-of-camelot,mmos,Dark Ages of Camelot,MMOs
category,506,Darkfall,darkfall-mmos,mmos,Darkfall,MMOs
category,507,DC Universe Online,dc-universe-online,mmos,DC Universe Online,MMOs
category,508,Diablo 3,diablo-3-other-games,other-games,Diablo 3,RPGs (Video Games)
category,1739,Dinosaur games,dinosaur-games,trends,Dinosaur Games,Gaming Culture & Commentary
category,509,Divinity II -- Dragon Knight Saga,divinity-ii-dragon-knight-saga,other-games,Divinity Ii -- Dragon Knight Saga,Board Games
category,510,Doctor Who,doctor-who,sci-fi,Doctor Who,Gaming Culture & Commentary
category,511,Doctor Who Adventures,doctor-who-adventures,other-games,Doctor Who Adventures,Gaming Culture & Commentary
category,512,Dragon Age Legends,dragon-age-legends,facebook-games,Dragon Age Legends,Board Games
category,513,Dragon Age Origins,dragon-age-origins,other-games,Dragon Age Origins,Board Games
category,514,Dragon Nest,dragon-nest,mmos,Dragon Nest,Board Games
category,2107,Dragon's Dogma,dragons-dogma,other-games,Dragon's Dogma,Board Games
category,515,Dragonica Online,dragonica-online,mmos,Dragonica Online,Board Games
category,516,Dream of Mirror Online,domo,mmos,Dream of Mirror Online,MMOs
category,2391,Dune Awakening,dune-awakening,mmos,Dune Awakening,Gaming Culture & Commentary
category,2208,Dungeon Crawl Classics,dungeon-crawl-classics,tabletop-games,Dungeon Crawl Classics,Tabletop RPGs (TTRPGs)
category,1529,Dungeon Encounters,dungeon-encounters,other-games,Dungeon Encounters,Gaming Culture & Commentary
category,517,Dungeon Siege,ds,other-games,Dungeon Siege,Gaming Culture & Commentary
category,518,Dungeons &amp; Dragons Online,dungeons-dragons-online,mmos,Dungeons & Dragons Online,Tabletop RPGs (TTRPGs)
category,519,Earth Eternal,earth-eternal,mmos,Earth Eternal,Gaming Culture & Commentary
category,520,Earthrise,earthrise,mmos,Earthrise,Gaming Culture & Commentary
category,1939,Elite Dangerous,elite-dangerous,mmos,Elite Dangerous,Gaming Culture & Commentary
category,1569,EQ Online Adventures,eq-online-adventures,mmos,Eq Online Adventures,MMOs
category,2323,Erenshor,erenshor,mmos,Erenshor,Gaming Culture & Commentary
category,521,Eureka,eureka,sci-fi,Eureka,Game Development & Design
category,522,Euro Truck Simulator 2,euro-truck-simulator-2,other-games,Euro Truck Simulator 2,Gaming Culture & Commentary
category,523,EvE Online,eve-online,mmos,EVE Online,MMOs
category,2267,EverCraft Online,evercraft-online,mmos,Evercraft Online,MMOs
category,524,EverQuest,everquest,mmos,EverQuest,MMOs
category,525,EverQuest 2,everquest-2,mmos,EverQuest II,MMOs
category,526,EverQuest Next,everquest-next,mmos,Everquest Next,MMOs
category,1744,Exploration games,exploration-games,trends,Exploration Games,Indie Games
category,527,Fallen Earth,fallen-earth,mmos,Fallen Earth,Gaming Culture & Commentary
category,1781,Fanfic,fanfic,general,Fanfic,Blogging & Meta
category,528,Fantasy Earth Zero,fantasy-earth-zero,mmos,Fantasy Earth Zero,RPGs (Video Games)
category,351,FF1,ff1,final-fantasy,Ff1,Gaming Culture & Commentary
category,374,FF3,ff3,final-fantasy,Final Fantasy III,RPGs (Video Games)
category,376,FFXIV,ffxiv,final-fantasy,Final Fantasy XIV,RPGs (Video Games)
category,1780,Final Fantasy VI,final-fantasy-vi,trends,Final Fantasy Vi,RPGs (Video Games)
category,1735,Final Fantasy VII,final-fantasy-vii,trends,Final Fantasy Vii,RPGs (Video Games)
category,529,Final Fantasy XI,final-fantasy-xi,mmos,Final Fantasy Xi,RPGs (Video Games)
category,1953,Final Fantasy XIII,final-fantasy-xiii,trends,Final Fantasy Xiii,RPGs (Video Games)
category,530,Final Fantasy XIV,final-fantasy-xiv,mmos,Final Fantasy Xiv,RPGs (Video Games)
category,1943,Final Fantasy XVI,final-fantasy-xvi,trends,Final Fantasy Xvi,RPGs (Video Games)
category,1725,First person shooter,first-person-shooter,trends,First Person Shooter,Gaming Hardware & Platforms
category,531,Fists of Fu,fists-of-fu,mmos,Fists of Fu,Gaming Culture & Commentary
category,1526,Flamecraft,flamecraft,tabletop-games,Flamecraft,Board Games
category,532,Florensia,florensia-mmos,mmos,Florensia,Gaming Culture & Commentary
category,1770,Fortnite,fortnite,mmos,Fortnite,Gaming Industry & News
category,533,Free Realms,free-realms,mmos,Free Realms,Gaming Culture & Commentary
category,534,From Ello,from-ello,general,From Ello,Blogging & Meta
category,535,FTL,ftl,other-games,Ftl,Gaming Culture & Commentary
category,1796,Gaming convention,gaming-convention,trends,Gaming Convention,Gaming Culture & Commentary
category,536,Gatheryn,gatheryn,mmos,Gatheryn,Gaming Culture & Commentary
category,537,Gauntlet,gauntlet,other-games,Gauntlet,Retro Gaming
category,1554,Gladius,gladius,other-games,Gladius,Retro Gaming
category,538,Glitch,glitch,mmos,Glitch,Gaming Culture & Commentary
category,1514,Gloomhaven,gloomhaven,other-games,Gloomhaven,Board Games
category,539,Go,go,other-games,Go,Board Games
category,540,Gods &amp; Heroes,gods-heroes,mmos,Gods & Heroes,Board Games
category,541,GodsWar Online,godswar-online,mmos,Godswar Online,Board Games
category,542,Godville,godville,other-games,Godville,Board Games
category,1838,Gotham Knights,gotham-knights,open-world-rpg,Gotham Knights,Board Games
category,2106,Granblue Fantasy,granblue-fantasy,other-games,Granblue Fantasy,RPGs (Video Games)
category,543,Gratuitous Space Battles,gratuitous-space-battles,other-games,Gratuitous Space Battles,Strategy & 4X Games
category,1513,Greedfall,greedfall,other-games,Greedfall,RPGs (Video Games)
category,544,Grim Dawn,grim-dawn,other-games,Grim Dawn,RPGs (Video Games)
category,545,Guild Wars,guild-wars,mmos,Guild Wars,MMOs
category,2034,Guild Wars 2,guild-wars-2,mmos,Guild Wars 2,MMOs
category,546,Hearthstone,hearthstone,other-games,Hearthstone,Board Games
